Date,Open,High,Low,Close,Volume
2020-04-17,32.33,38.08,30.57,33.49,"39,726,059"
2020-04-24,31.86,33.02,29.33,31.74,"48,036,149"
2020-05-01,32.44,33.74,29.64,32.05,"28,852,162"
2020-05-08,32.36,45.7,32.03,43,"127,918,478"
2020-05-15,42.51,49.68,42.01,48.42,"81,898,539"
2020-05-22,47.29,48.22,43.4,45.81,"40,524,893"
2020-05-29,44.74,45.5,38.8,42.19,"33,980,009"
2020-06-05,42.1,49.3,41.26,45.9,"46,724,442"
2020-06-12,45.2,49.4,42.9,47.1,"36,061,869"
2020-06-19,48.27,51.95,47.04,50.89,"49,149,638"
2020-06-26,52,60,51.65,58.43,"66,660,850"
2020-07-02,58.05,61.39,55.68,59.16,"26,996,703"
2020-07-10,59.25,68.78,59.24,68.47,"35,549,676"
2020-07-17,69.25,69.73,58.23,58.53,"43,646,206"
2020-07-24,59.72,65.31,59.58,61.82,"29,752,509"
2020-07-31,62.58,68.94,61.75,68.22,"26,895,715"
2020-08-07,69.6,73.21,66.37,68.3,"28,205,358"
2020-08-14,68.48,69.57,62.5,64.34,"26,270,421"
2020-08-21,64.88,70.95,63.23,69.35,"23,149,812"
2020-08-28,69.95,77.46,65.29,75.96,"41,813,982"
2020-09-04,76,92.5,72.11,80.63,"86,475,681"
2020-09-11,79.38,98.61,79.29,84.04,"206,050,322"
2020-09-18,81.72,90.01,78.83,89.7,"221,038,500"
2020-09-25,89.4,100.44,87.78,97.73,"230,288,461"
2020-10-02,97.27,110.25,94.42,107.51,"151,354,589"
2020-10-09,107.67,123.58,106.11,123.02,"90,546,240"
2020-10-16,125.1,139.75,122.24,131.33,"132,335,794"
2020-10-23,130.94,136.95,117.58,122.53,"91,786,932"
2020-10-30,123.02,125.65,109.01,110.21,"52,191,005"
2020-11-06,112.36,132.79,110.13,125.46,"66,776,057"
2020-11-13,106.69,112,92.03,100.79,"143,044,095"
2020-11-20,97.3,112.81,95.86,110.9,"64,685,985"
2020-11-27,110.43,113.94,104.15,108.98,"37,576,070"
2020-12-04,110.03,117.75,105.69,114.45,"49,591,597"
2020-12-11,114.07,120.31,108.18,117.1,"43,529,427"
2020-12-18,118.01,142,117.75,139.84,"82,385,546"
2020-12-24,141.8,167.37,137.77,162.72,"74,084,285"
2020-12-31,164,164.4,146.37,151.72,"32,311,238"
2021-01-08,152.51,159.03,140.74,158.88,"33,375,032"
2021-01-15,156.77,171.09,147.76,157.81,"34,901,414"
2021-01-22,152.55,160.41,144.9,159.75,"23,378,891"
2021-01-29,160.85,166.57,139.02,146.13,"31,497,923"
2021-02-05,147.7,157.83,142.7,148.3,"49,417,884"
2021-02-12,148.84,154.83,143.33,154.67,"37,065,778"
2021-02-19,155.5,155.52,135.03,139.71,"27,561,774"
2021-02-26,137.32,138.61,111.94,120.47,"44,775,190"
2021-03-05,122.48,126.74,94,105.13,"50,689,017"
2021-03-12,108.69,119.12,100.42,111.55,"49,624,523"
2021-03-19,111.67,113.98,101.67,108.31,"39,859,879"
2021-03-26,108.97,116.29,98.73,106.42,"41,169,273"
2021-04-01,106,118.96,101.81,112.09,"23,284,353"
2021-04-09,112.88,124.5,107.73,118.6,"41,320,770"
2021-04-14,118.06,124.8,115.26,117.8,"18,043,665"
2021-04-16,122.66,122.91,115.76,116.21,"15,267,173"
2021-04-23,108.62,112.91,99.12,101.07,"72,300,878"
2021-04-30,102.66,104.39,96.54,98.35,"42,135,542"
2021-05-07,98.26,99.82,80.48,83.81,"209,382,471"
2021-05-14,82.59,97.8,81.06,96.58,"140,454,648"
2021-05-21,95.85,102.25,89.43,100.9,"71,947,241"
2021-05-28,101.72,114,98.12,110.31,"70,327,793"
2021-06-04,110.9,112.99,101.52,103.01,"30,582,118"
2021-06-11,105.2,113.23,104.25,113.12,"37,217,454"
2021-06-18,112.37,114.75,102.7,109.12,"34,580,966"
2021-06-25,107.59,124.23,104.12,121.49,"54,105,979"
2021-07-02,122.07,127.98,120.17,121.6,"29,921,223"
2021-07-09,121.47,129.7,117.71,117.84,"24,937,652"
2021-07-16,118.73,121.61,108.1,110.54,"35,421,896"
2021-07-23,109.99,127.57,109.67,121.55,"36,934,612"
2021-07-30,121.06,123.94,115.77,118.05,"19,071,898"
2021-08-06,117.9,122.99,112.65,112.69,"21,353,091"
2021-08-13,113.11,118.24,109.88,110.88,"17,933,987"
2021-08-20,109.91,113.9,107.19,108.07,"22,821,195"
2021-08-27,105.65,120.62,102.91,104.34,"64,693,105"
2021-09-03,103.75,105.24,96.95,98.56,"47,716,273"
2021-09-10,98.1,118.61,96.06,114.39,"50,564,687"
2021-09-17,113.67,114.5,102.5,103.42,"31,804,424"
2021-09-24,101.4,104.13,91.76,92.64,"36,878,897"
2021-10-01,91.71,94.38,84.32,86.71,"39,796,039"
2021-10-08,86.25,89.47,81.04,86.11,"34,349,846"
2021-10-15,85.84,88.4,84.47,85.11,"19,200,214"
2021-10-22,85.11,95.59,83.58,93.83,"31,154,741"
2021-10-29,93.5,99.36,87.98,91.44,"28,771,097"
2021-11-05,91.6,92.95,55.21,55.64,"124,160,818"
2021-11-12,53.36,53.6,47.57,49.22,"115,962,037"
2021-11-19,49.61,54.94,45.9,47.14,"148,647,415"
2021-11-26,47.05,47.75,41.13,46.41,"67,375,558"
2021-12-03,44.68,46.5,42.19,43.55,"79,273,990"
2021-12-10,42.36,46.35,37.67,38.51,"85,416,010"
2021-12-17,39.62,43.03,36.42,42.45,"112,522,652"
2021-12-23,42.16,42.46,35.9,38.59,"64,131,451"
2021-12-31,38.12,38.47,33.91,35.76,"74,824,710"
2022-01-07,36.08,36.26,31.51,35.58,"85,226,671"
2022-01-14,34.7,37.68,30.35,31.33,"87,802,762"
2022-01-21,30.85,32.64,23.25,27.06,"269,633,278"
2022-01-28,25.85,30.27,22.81,25.64,"160,817,327"
2022-02-04,26.55,28.57,23.21,24.6,"89,276,060"
2022-02-11,31.62,40.35,27.91,34.68,"493,975,054"
2022-02-18,33.71,34.96,29.08,29.63,"76,427,101"
2022-02-25,29.48,30.31,25.26,28.19,"54,986,844"
2022-03-04,28.95,29.15,22.46,23.49,"63,873,488"
2022-03-11,23.59,24.08,21.04,21.14,"47,399,204"
2022-03-18,20.81,26.7,20.11,26.62,"52,739,561"
2022-03-25,26.37,29.86,24.98,28.42,"42,167,799"
2022-04-01,28.44,32.14,25.8,26.31,"49,323,277"
2022-04-08,26.49,27.95,22.85,23.56,"41,306,502"
2022-04-14,23.01,26.5,22.53,23.87,"31,706,045"
2022-04-22,23.51,25.13,19.66,20.39,"46,556,710"
2022-04-29,20.04,20.5,17.38,17.56,"49,072,954"
2022-05-06,17.65,18.86,14.7,15.7,"60,444,056"
2022-05-13,15.34,15.9,11.25,15.87,"154,544,271"
2022-05-20,15.56,16.22,13.68,14.51,"68,989,710"
2022-05-27,14.58,14.58,12.34,14.51,"53,799,902"
2022-06-03,14.46,14.74,12.37,12.53,"46,943,474"
2022-06-10,12.65,13.01,10.46,10.51,"62,431,147"
2022-06-17,10.01,10.35,9.29,9.74,"54,318,604"
2022-06-24,9.89,11.02,9.51,11.01,"46,275,444"
2022-07-01,11.12,11.22,8.74,9.13,"48,519,120"
2022-07-08,9.12,10.93,8.73,10.21,"37,228,788"
2022-07-15,10.06,10.11,8.22,8.48,"64,149,947"
2022-07-22,8.75,11.4,8.5,9.77,"80,238,929"
2022-07-29,9.85,9.86,8.56,9.49,"47,060,046"
2022-08-05,9.5,11.87,9.17,11.79,"60,764,931"
2022-08-12,11.93,13.79,10.88,13.53,"77,983,034"
2022-08-19,13.34,14.32,11.36,11.71,"65,213,220"
2022-08-26,11.38,13.66,10.12,10.61,"193,280,961"
2022-09-02,10.48,10.92,9.4,9.44,"93,583,009"
2022-09-09,9.36,10.39,8.57,10.31,"49,732,826"
2022-09-16,10.26,11.08,9.48,9.74,"69,998,610"
2022-09-23,9.71,10.24,8.28,8.51,"50,117,775"
2022-09-30,8.5,8.85,6.82,6.93,"74,686,938"
2022-10-07,7.1,9.17,6.66,8.69,"96,451,190"
2022-10-14,8.74,9.42,7.23,7.24,"92,787,941"
2022-10-21,7.56,8.26,7.03,7.34,"63,102,971"
2022-10-28,7.2,8.25,6.76,8.01,"73,848,500"
2022-11-04,8.05,9.71,7.24,9.39,"101,703,750"
2022-11-11,9.41,10.6,8.39,10.33,"68,819,180"
2022-11-18,10.06,12.02,10.04,10.31,"63,949,993"
2022-11-25,10.03,10.21,9.33,10.06,"29,617,107"
2022-12-02,9.98,13.33,9.94,13.3,"74,197,263"
2022-12-09,13.06,13.35,11.48,11.51,"60,219,489"
2022-12-16,11.37,12.58,10.69,10.71,"56,942,848"
2022-12-23,10.59,10.85,8.66,8.89,"44,908,308"
2022-12-30,8.79,8.81,7.68,7.94,"40,989,837"
2023-01-06,8.17,9.03,7.89,8.92,"39,175,782"
2023-01-13,9.09,11.73,9.02,11.63,"54,923,815"
2023-01-20,11.53,12.14,10.19,11.06,"54,159,003"
2023-01-27,11.1,12.99,10.52,12.65,"52,037,781"
2023-02-03,12.71,17.83,12.3,16.28,"190,694,113"
2023-02-10,15.83,16.37,13.82,13.83,"74,840,511"
2023-02-17,13.81,14.89,12.86,13.6,"49,513,820"
2023-02-24,13.22,13.54,12.48,12.7,"34,439,879"
2023-03-03,12.9,14.2,12.16,13.86,"46,724,661"
2023-03-10,14.02,14.36,11.21,11.78,"50,778,717"
2023-03-17,11.52,11.85,9.68,10.08,"49,173,845"
2023-03-24,10.02,10.17,9.09,9.53,"57,307,456"
2023-03-31,9.64,11.37,9.36,11.34,"37,804,399"
2023-04-06,11.13,12.02,10.97,11.41,"26,554,530"
2023-04-14,11.19,11.78,9.56,9.58,"48,943,365"